Cluster 1 
angry-face 😠 U+1F620
pouting-face 😡 U+1F621
face-with-symbols-on-mouth 🤬 U+1F92C
tired-face 😫 U+1F62B
weary-face 😩 U+1F629
face-with-steam-from-nose 😤 U+1F624
face-screaming-in-fear 😱 U+1F631
anxious-face-with-sweat 😰 U+1F630
loudly-crying-face 😭 U+1F62D
nauseated-face 🤢 U+1F922
hot-face 🥵 U+1F975
cold-face 🥶 U+1F976
Cluster 2 
unamused-face 😒 U+1F612
worried-face 😟 U+1F61F
pensive-face 😔 U+1F614
persevering-face 😣 U+1F623
confounded-face 😖 U+1F616
fearful-face 😨 U+1F628
crying-face 😢 U+1F622
sad-but-relieved-face 😥 U+1F625
dizzy-face 😵 U+1F635
exploding-head 🤯 U+1F92F
Cluster 3 
grinning-face-with-sweat 😅 U+1F605
face-without-mouth 😶 U+1F636
neutral-face 😐 U+1F610
expressionless-face 😑 U+1F611
face-with-rolling-eyes 🙄 U+1F644
face-with-raised-eyebrow 🤨 U+1F928
disappointed-face 😞 U+1F61E
confused-face 😕 U+1F615
slightly-frowning-face 🙁 U+1F641
frowning-face ☹ U+2639
grimacing-face 😬 U+1F62C
pleading-face 🥺 U+1F97A
hushed-face 😯 U+1F62F
frowning-face-with-open-mouth 😦 U+1F626
anguished-face 😧 U+1F627
sleepy-face 😪 U+1F62A
downcast-face-with-sweat 😓 U+1F613
woozy-face 🥴 U+1F974
kissing-face 😗 U+1F617
Cluster 4 
slightly-smiling-face 🙂 U+1F642
relieved-face 😌 U+1F60C
face-with-tongue 😛 U+1F61B
smiling-face-with-sunglasses 😎 U+1F60E
face-with-monocle 🧐 U+1F9D0
cowboy-hat-face 🤠 U+1F920
clown-face 🤡 U+1F921
thinking-face 🤔 U+1F914
face-with-hand-over-mouth 🤭 U+1F92D
flushed-face 😳 U+1F633
face-with-open-mouth 😮 U+1F62E
astonished-face 😲 U+1F632
Cluster 5 
grinning-face 😀 U+1F600
grinning-face-with-big-eyes 😃 U+1F603
smiling-face-with-halo 😇 U+1F607
winking-face 😉 U+1F609
face-savoring-food 😋 U+1F60B
kissing-face-with-smiling-eyes 😙 U+1F619
winking-face-with-tongue 😜 U+1F61C
squinting-face-with-tongue 😝 U+1F61D
hugging-face 🤗 U+1F917
Cluster 6 
grinning-face-with-smiling-eyes 😁 U+1F601
beaming-face-with-smiling-eyes 😁 U+1F601
grinning-squinting-face 😆 U+1F606
rolling-on-the-floor-laughing 🤣 U+1F923
smiling-face ☺ U+263A
smiling-face-with-smiling-eyes 😊 U+1F60A
smiling-face-with-heart-eyes 😍 U+1F60D
smiling-face-with-hearts 🥰 U+1F970
face-blowing-a-kiss 😘 U+1F618
kissing-face-with-closed-eyes 😚 U+1F61A
partying-face 🥳 U+1F973
star-struck 🤩 U+1F929
